# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "data/genome/Saccharomyces_cerevisiae.R64-1-1.109.gtf" "-o" "results/counts/count_matrix.txt" "-T" "4" "-p" "-g" "gene_id" "-t" "exon" "-s" "0" "results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam" "results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignments/SRR31781631_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781632_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781633_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781635_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781636_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781640_Aligned.sortedByCoord.out.bam	results/alignments/SRR31781641_Aligned.sortedByCoord.out.bam
YDL246C	IV	8683	9756	-	1074	4	0	20	4	17	0	8
YDL243C	IV	17577	18566	-	990	52	52	372	263	352	30	99
YDR387C	IV	1248154	1249821	-	1668	134	180	1110	1114	1728	185	383
YDL094C	IV	289572	290081	-	510	6	16	80	194	302	41	83
YDR438W	IV	1338274	1339386	+	1113	24	100	551	737	1110	133	210
YDR523C	IV	1485566	1487038	-	1473	2	6	78	84	124	14	26
YDR542W	IV	1523249	1523611	+	363	0	6	12	6	4	0	4
YDR492W	IV	1434924	1435874	+	951	29	209	1981	3735	5595	482	1165
YDR018C	IV	482670	483860	-	1191	16	36	134	121	212	12	37
YDL189W	IV	122216	123589	+	1374	40	72	712	920	1331	62	279
YDR508C	IV	1466453	1468444	-	1992	956	1079	9158	9942	14987	1443	4147
YDR462W	IV	1386073	1386516	+	444	36	76	508	589	819	47	155
YDR175C	IV	813193	814152	-	960	54	118	517	828	1156	101	273
YDR186C	IV	832859	835492	-	2634	340	378	3382	3475	4788	381	1028
YDR150W	IV	755628	763874	+	8247	292	806	4973	5936	8408	736	1852
YDR243C	IV	948518	950284	-	1767	120	128	560	683	913	133	252
YDL182W	IV	133437	134723	+	1287	244	420	4157	2591	4233	246	910
YDR362C	IV	1196679	1198697	-	2019	54	132	793	883	1160	172	337
YDR232W	IV	927452	929098	+	1647	784	732	7562	9066	13736	1193	3620
YDR158W	IV	770357	771454	+	1098	1850	1761	13158	19271	28115	2801	7367
